|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
10425|ASMB games||Unity||August|Action-adventure, platformer, survival|Single-player|
10426|Harukaze|||Windows, PlayStation Vita||Eroge, visual novel||
10427|Cyan Worlds|Cyan Worlds|Unreal Engine 4||March|Adventure, puzzle|Single-player|
10428|Mohawk Games|Stardock|Unity||April|Real-time strategy|Single-player, multiplayer|
10429||||||Action Comedy||
10430|Coffee Powered Machine|Devolver Digital|Unity||August|Action, roguelike|Single-player|
10431|Buddy Cops, LLC|Devolver Digital|Unity||May|Action, platform|Single-player, multiplayer|
10432|Kinmoku||Ren'Py||October|Visual novel|Single-player|
10433|Spike Chunsoft|Bandai Namco Entertainment|||April|Fighting|Multiplayersingle-player |One Piece
10434|Little Cat Feet|Degica|RPG Maker||June|Adventure, Puzzle|Single-player|
10435|R.T. Smith & John Carline|Iceberg Interactive|||September|Turn-based strategy|"Single-player
Multiplayer"|
10436|Osmotic|Fellow Traveller |Unity||October|Simulation|Single-player|
10437|Ghost Town Games|Team17|Unity||July|Simulation|Single player, multiplayer|
10438|Blizzard Entertainment|Blizzard Entertainment|||May|First-person shooter|Multiplayer|
10439|D-Pad Studio|D-Pad Studio|XNA||January|Platform-adventure|Single-player|
10440|Night School Studio|Night School Studio|Unity||January|Graphic adventure|Single-player|
10441|Bandai Namco Studios|Bandai Namco Entertainment|||February|Maze|Single-player|Pac-Man
10442|DoubleBear Productions|DoubleBear Productions|Ren'Py||August|Visual Novel, Role-playing|Single-player |
10443|Intelligent Systems|Nintendo|||October|Action-adventure|Single-player|Paper Mario
10444|Giant Margarita|Giant Margarita|Unity||May|Party Game, Sports Game|Single-player, multiplayer|
10445|P-Studio|JP: AtlusNA: Atlus USAPAL: Deep Silver|||April|Role-playing, social simulation|Single-player|Megami Tensei (sub)Persona (main)
10446|Outerminds Inc.|Outerminds Inc.|||September||Single-player|
10447||||||||
10448|Capcom|Capcom|||June|Adventure, visual novel|Single-player|Ace Attorney
10449|Obsidian Entertainment|Paradox Interactive|Unity||February|Role-playing|Single-player|
10450|Frontier Developments|Frontier Developments|||November|Construction and management simulation|Single-player|
10451|Pathea Games|Pathea Games|Unity||November|Adventure, sandbox, role-playing|Single-player, co-op, multiplayer|
10452|PopCap Games|Electronic Arts|Frostbite 3||February|Tower defense, third-person shooter|Single-player, multiplayer|Plants vs. Zombies
10453|PopCap Games|Electronic Arts|||October|Collectible card game|Single-player, multiplayer|Plants vs. Zombies
10454|5pb.|||PlayStation Vita||Visual novel||
10455|SIE London Studio|Sony Interactive Entertainment||||Video game compilation|Single-player|
10456|Big Pixel Studios|Adult Swim Games|||January|Role-playing|Single-player, multi-player|
10457|Heroz|The Pokémon Company|||January|Board gameSingle / dual player||Pokémon
10458|Niantic|Niantic|Unity||July|Augmented reality, location-based game||Pokémon
10459|Game Freak|The Pokémon CompanyNintendo|||November|Role-playing|Single-player, multiplayer|Pokémon
10460|||RPG Maker XP||August|Role-playing video game |Multiplayersingle-player |Pokémon
10461||Positech Games||||Political simulation||
10462|||||February|Government simulation|Single-player, multiplayer|
10463||Mindfield Games|Unity||April|First-person, Exploration game|Single-player|
10464|Dry Cactus|Dry Cactus|Unity||March|Simulation, puzzle|Single-player |
10465|Daniel Mullins Games|Daniel Mullins Games|Unity||January|Action-adventure|Single-player|
10466|Keen Games|505 Games|||May|Action role-playing, survival|Single-player, multiplayer|
10467|Running with Scissors|Running with Scissors|Unreal Engine 4||May|Shoot 'em up|Single-player, multiplayer|Postal
10468|Vertigo Arts|Atari, Inc.|||January|Social simulation|Single-player, Multiplayer|
10469|PES Productions|Konami|Fox EngineHavok (physics engine) (Android, iOS)||September|Sports|Single-player, multiplayer|Pro Evolution Soccer
10470|SomaSim|Kasedo Games|Unity ||September|Simulation |Single-player |
10471|Otomate|JP: Idea Factory (PSV)NA/EU: Aksys Games (PSV)WW: Intragames, Idea Factory (PC)|||January|Visual novel|Single-player|
10472||Curve Digital[1]|||September|SportRacingArcade||
10473|Lazy Bear Games|tinyBuild|Unity||January|Sporting management simulation|Single-player|
10474|5pb.|JP: 5pb.NA/EU: PQube|||April|Adventure, visual novel|Single-player|
10475|House House||||May|||
10476|GungHo Online Entertainment|||Nintendo 3DS||Puzzle||
10477|Blendo Games|Blendo Games|id Tech 4||July|PuzzleAdventure|Single-player|
10478|Remedy Entertainment|Microsoft Studios|Northlight ||April|Action-adventure, third-person shooter|Single-player|
10479||Zadbox Entertainment|Unity||November|Adventure||
10480|Tammeka Games[1]|Tammeka Games||||Racing|Single-player, multiplayer|
10481|Dingo Inc.|||iOS, Android, PC||Action||
10482|MOSS[a]|JP: MOSSWW: UFO Interactive GamesEU: PQube (PS4)|||February|Shoot 'em up|Single player, multiplayer|Raiden
10483|Insomniac Games|Sony Interactive Entertainment|||April|Platformer, shooter|Single-player|Ratchet & Clank
10484|Zach Gage|iOSZach GageAndroidNoodlecake Studios|Unity||May|Mind sport, abstract strategy|Single-player|
10485|Rec Room Inc.|Rec Room Inc.|Unity||May|Game creation system, massively multiplayer online|Multiplayer|
10486|ComceptArmature Studio|Microsoft Studios|Unity||September|Action-adventure, platform|Single-player|
10487|Hexage||||April|Real-time strategy|Single-player|
10488||34BigThings Nicalis505 Games|Unreal Engine 4||May|Racing|Single-playermultiplayer|
10489|Nerial|Devolver Digital|Unity||August|Strategy|Single-player|
10490|Guerrilla Cambridge|Sony Interactive Entertainment|Decima||October|First-person shooter, sports|Single-player, online multiplayer|
10491|Two Tribes|Two Tribes Publishing B.V.|Proprietary internal engine||September|Platform, shoot 'em up|Single-player|
10492|Million Co.|Natsume, Arc System Works (JP)|||August|Beat 'em up|Single-player, Multiplayer|Kunio-kun
10493|Crytek|Crytek|CryEngine||February||Single-player|
10494|Origin8 Technologies|Atari|||September|Construction and management simulation|Single-player|RollerCoaster Tycoon
10495|Nvizzio Creations|Atari, Inc.RCTO Productions|Unity||November|Construction and management simulation|Single-player|RollerCoaster Tycoon
10496|Koei|Koei Tecmo|||January|Strategy||Romance of the Three Kingdoms series
10497|Kadokawa Games|JP: Kadokawa GamesWW: PQube|||March|Adventure, visual novel|Single-player|
10498|Wicked Witch Software|Tru Blu Entertainment|||April|Sports|Multiplayersingle-player |Rugby Challenge
10499||||||"
Science fantasy[1][2]
Action[3][4]
Adventure[5]
"||
10500|Square Enix Business Division 3Studio Reel|Square Enix|Unity||August|Role-playing|Single-player|SaGa
10501|Mixed Realms and Swag Soft|Mixed Realms Pte Ltd|||February|Action|Virtual reality games|
10502|Ska Studios|Ska Studios|||February|Action role-playing, platformer|Single-player, multiplayer|
10503|Amanita Design|Amanita Design|||March|Adventure, puzzle|Single-player|Samorost
10504|Omega Force|Koei Tecmo|||May|Hack and slash, action|Single-player|Samurai Warriors
10505|Ubisoft Barcelona|Ubisoft|||January|Action game|Singleplayer, Multiplayer|
10506|Flazm|Flazm|||May|Puzzle, platformer, adventure|Single-player|
10507|||||WW: 2016|||
10508||Focus Home Interactive|Unity||May|Puzzle, platform||
10509|Milestone srl|Milestone srl|||January|Racing|Single-player, multiplayer|
10510|M2|Sega|||April|||
10511|Pine Studio|Headup Games||||Platformer|Single player|
10512|DrinkBox Studios|JP: Flyhigh WorksWW: DrinkBox Studios|||April|Action-adventure|Single-player|
10513|Heavy Spectrum Entertainment Labs[1]XDev|Sony Interactive Entertainment|Unreal Engine 4||May|Platform, action-adventure, hack and slash|Single-player|Shadow of the Beast
10514|Mimimi Productions|Daedalic Entertainment|Unity||August|Real-time tactics|Single-player|
10515|Flying Wild Hog|Devolver Digital|Road Hog Engine||May|First-person shooter|Single-player, multiplayer|Shadow Warrior
10516|Cygames|WW: CygamesPRC: NetEase|Unity||February|Collectible card game|Multiplayersingle-player |
10517||Frozenbyte|||May|Stealth|Single-player|
10518|WayForward Technologies|WayForward TechnologiesXseed Games[note 1]Pqube Games[note 2]Oizumi Amuzio Inc.[note 3][1]|||June|Platform, Metroidvania|Single-player|Shantae
10519|Francisco GonzalezBen Chandler|Wadjet Eye Games|Adventure Game Studio||March|Adventure game|Single-player|
10520||Team17|||March|Survival game|Single player|
10521|Zachtronics|Zachtronics|||November|Puzzle, programming|Single-player|
10522|Frogwares|Bigben Interactive|Unreal Engine 3||June|Adventure|Single-player|Sherlock Holmes
10523|Atlus|JP: AtlusNA: Atlus USAPAL: Deep Silver|||February|Role-playing|Single-player|Megami Tensei
10524|Daedalic Entertainment|Daedalic Entertainment|Unity||November|" Adventure | Indie"|Single-player|
10525|Maxis Redwood Shores|Electronic Arts|||November|Life simulation|Single-player|The Sims
10526|Maxis Redwood Shores|Electronic Arts|||June|Life simulation|Single-player|The Sims
10527|Toys for Bob|Activision|||March|Toys-to-life, role-playing, action adventure|Single-player, multiplayer|Skylanders
10528|||||March|Action, platform||
10529|Steve Howse||||March|Casual|Multiplayer|
10530|Fire Face(Owen Deery)|Adult Swim Games|||November|Puzzle video game|Single-player|
10531|Snowrunner Games|Snowrunner Games|Unity||April|Simulation video gamePlatformer (Vivian Clark)|Single-player|
10532||Stone Blade Entertainment|||May|Collectible card game||
10533||MoaCube|GameMaker Studio||February|Visual novel|Single-player|
10534|Teotl StudiosGrip Digital|Teotl StudiosGrip Digital|Unreal Engine 4||June|Survival|Single-player|
10535|Insomniac Games|GameTrust Games|||July|Metroidvania|Single-player|
10536|Sanzaru Games|Sega|||September|Action-adventure, platform|Single-player, multiplayer|Sonic the Hedgehog
10537|Wales Interactive|Wales Interactive|Unity||February|Adventure, Puzzle|Single-player|
10538|Lion Games Studios|: Hangame[2]: Smilegate[1]: CayenneTech[3] / : Gameforge[4]|"Trinigy Vision Engine
(Havok Engine)

Fmod Studio"||January|Action MMORPG|Online multiplayer|
10539||Focus Home Interactive|Unreal Engine 4||March|First-person shooter|Single-player, multiplayer|Warhammer 40,000
10540|DoubleDutch Games|tinyBuild|Microsoft XNA||April|Platform|Single-player, multiplayer|
10541|||AGS||May|Adventure|Single-player|
10542|"
Nintendo EPD
PlatinumGames
"|Nintendo|||April|Tower defense|Single-player|Star Fox
10543|Nintendo EPDPlatinumGames|Nintendo|||April|Scrolling shooter|Single-player, multiplayer|Star Fox
10544|tri-Ace|Square Enix|||July|Action role-playing|Single-player, multiplayer|Star Ocean
10545|tri-Ace|Square Enix|||March|Action role-playing|Single-player|Star Ocean
10546|Disruptor Beam|Disruptor Beam (iOS), Tilting Point (Android)|Unity 5||January|Strategy||
10547|Chucklefish|Chucklefish|||July|Action-adventure|Single-player, multiplayer|
10548|Blizzard Entertainment|Blizzard Entertainment|||March|Real-time strategy|Single-player|StarCraft
10549|ConcernedApe|ChucklefishConcernedApe[a]|||February|Simulation, role-playing|Single-player, multiplayer|
10550|Little Green Men Games|Iceberg Interactive|||May|Space trading and combat simulator, role-playing, 4X|Single-player|
10551|Windows, Nintendo 3DSHoneybee (game company)PlayStation PortableHuneX|||Windows, PlayStation Portable, PlayStation Vita, Nintendo 3DS||Role-playing video game, life simulation game, visual novel, otome game||
10552|Ashdar Games|Iceberg Interactive|||January|Turn-based strategy|Single-player|
10553|Arcen Games||Unity||January|Roguelike / Bullet hell||
10554|Image & Form|Image & FormNA: Rising Star Games[a]EU: Nintendo|||June|Turn-based strategy, action-adventure|Single-player|SteamWorld
10555|Ubisoft Annecy[a]|Ubisoft|AnvilNext 2.0||December|Extreme sports|Single-player, multiplayer|
10556|Paradox Development Studio|Paradox Interactive|Clausewitz Engine||February|RTS, 4X, grand strategy|Single-player, multiplayer|
10557|Increpare Games|Increpare Games|Unity||April|Puzzle|Single-player|
10558|FarSight Studios, Stern Pinball Inc.|Stern Pinball Inc.|||June||Single-player |
10559|Djinnworks GmbH|Djinnworks GmbH||||Soccer||
10560||Spearhead Games|||April|Action role-playing|Single-player|
10561|Marvelous|JP: MarvelousNA: Marvelous USAEU: Nintendo|||February|Farm simulation, role-playing|Single-player|Story of Seasons
10562|CapcomDimps|Capcom|Unreal Engine 4||January|Fighting|Single-player, multiplayer|Street Fighter
10563|Media.Vision[a]|JP: Bandai Namco EntertainmentWW: Gaijinworks|||March|Tactical RPG|Single-player|
10564|React Games|Wired Productions|Unity 5||November|Action role-playing  Hack and slash|Single-player, multiplayer|
10565|Nintendo EPD[a]|Nintendo|Unity||March|Auto-running|Single-player|Super Mario
10566|Noodlecake Games||||June|Golf video game ||
10567|Superhot Team|Superhot Team|Unity||February|First-person shooter|Single-player|
10568||Polytron|||October|Puzzle|Single-player|
10569|Aquria|Bandai Namco Entertainment|||April|Role-playing|Single-player, multiplayer|Sword Art Online
10570||Camel 101|Unity 5||October|Survival horrorFirst-person shooter||
10571|||Unreal Engine 4|||Turn-based tactics, Turn-based strategy|Single-player, Multiplayer|
10572|Whale Hammer Games|Whale Hammer Games|Unity||August|Tactical role-playing|Single-player|
10573||Screen 7|Adventure Game Studio||November|Adventure game, point-and-click|Single-player|
10574|Bandai Namco Studios|Bandai Namco Entertainment|||January|Action role-playing, JRPG|"
Single-player
Multiplayer
"|Tales
10575|Nintendo EPDVitei|Nintendo|||February|Action|Single-player, multiplayer|
10576|Waygetter Electronics|Little Flag Software, LLC|Unity||December|Survival horror|Single-player|
10577|Spiders|Focus Home Interactive|PhyreEngine||June|Action role-playing|Single-player|
10578||Ludia|||June|Role-playing||List of Teenage Mutant Ninja Turtles games
10579|PlatinumGames|Activision|||May|Action, hack and slash|Single-player|Teenage Mutant Ninja Turtles
10580|||||June||Single-player|
10581|Choice Provisions|Choice Provisions|Unity||January|Strategy|Single-player|
10582|Numinous Games|Numinous Games|Unity||January|Adventure, art|Single-player|
10583|Pantera Entertainment||||November||Single-player |
10584|Weappy Studio|Nordic Games, EuroVideo Medien|||March|Adventure, strategy|Single-player|
10585||Double Fine Productions|Unity||October|Multi-directional shooter|Single-player, multiplayer|
10586||1C Publishing EU|Unity||October|Horror Adventure|Single-player|
10587||||||||
10588|Drool||||January|Rhythm|Single-player |
10589|NetDragon|NetDragon|Unreal Engine 3||October|Real-time tactics, action role-playing|Multiplayer|
10590|Front Wing|||Windows||Simulation||
10591|Minority Media Inc.|Minority Media Inc.|||May|Adventure, simulation|Single-player|
10592||Kongregate|||July|Puzzle|Single-player|
10593||Gamesco|||January|Massively multiplayer online role-playing game|Multiplayer|
10594|Respawn Entertainment|Electronic Arts|Source||October|First-person shooter|Single-player, multiplayer|
10595|Lifewonders [ja]|Lifewonders|||December|Role-playing game|Single-player|
10596|Sushi Typhoon Games|JP: NikkatsuWW: NIS America|||September|Strategy|Single-player|
10597|Massive Entertainment[a]|Ubisoft|Snowdrop||March|Action role-playing, third person shooter|Multiplayer|Tom Clancy's
10598||Sony Interactive Entertainment|||October|Action||
10599|Creative Assembly|Sega|||April|Turn-based strategy, real-time tactics|Single-player, multiplayer|Total WarWarhammer Fantasy
10600|Omega Force|Koei Tecmo|||March|Action role-playing|Single-player, multiplayer|
10601|LKA|Wired Productions|||February|Adventure|Single-player|
10602|||Unreal Engine 3||September|First-person shooter|Multiplayer|
10603|Nadeo|Ubisoft|||March|Racing|Single-player, multiplayer|TrackMania
10604|Hiroyoshi Oshiba|Hiroyoshi Oshiba|||June|Platform, adventure, survival|Single-player|
10605|IMC Games Co.,Ltd|KOR: NEXON Korea[1]EU / NA / SA / SEA: IMC Games Co.,Ltd[2]JP: NEXON Japan[3]TH: NEXON Thailand[4]|||March|Massively multiplayer online role-playing|Online multiplayer|
